date_month,date_label,n_year,n_month,migrants_arrived,boats_arrived,migrants_per_boat,cumulative_migrants_arrived,cumulative_boats_arrived,migrants_per_boat_round
2018-01-01,January 2018,2018,1,7,1,7,7,1,7
2018-02-01,February 2018,2018,2,,,,7,1,
2018-03-01,March 2018,2018,3,,,,7,1,
2018-04-01,April 2018,2018,4,,,,7,1,
2018-05-01,May 2018,2018,5,,,,7,1,
2018-06-01,June 2018,2018,6,4,1,4,11,2,4
2018-07-01,July 2018,2018,7,,,,11,2,
2018-08-01,August 2018,2018,8,10,3,3.3333333333333335,21,5,3
2018-09-01,September 2018,2018,9,7,2,3.5,28,7,4
2018-10-01,October 2018,2018,10,23,4,5.75,51,11,6
2018-11-01,November 2018,2018,11,110,13,8.461538461538462,161,24,8
2018-12-01,December 2018,2018,12,138,19,7.2631578947368425,299,43,7
2019-01-01,January 2019,2019,1,45,5,9,45,5,9
2019-02-01,February 2019,2019,2,88,8,11,133,13,11
2019-03-01,March 2019,2019,3,66,7,9.428571428571429,199,20,9
2019-04-01,April 2019,2019,4,80,8,10,279,28,10
2019-05-01,May 2019,2019,5,150,14,10.714285714285714,429,42,11
2019-06-01,June 2019,2019,6,163,6,27.166666666666668,592,48,27
2019-07-01,July 2019,2019,7,195,17,11.470588235294118,787,65,11
2019-08-01,August 2019,2019,8,342,34,10.058823529411764,1129,99,10
2019-09-01,September 2019,2019,9,210,20,10.5,1339,119,10
2019-10-01,October 2019,2019,10,75,9,8.333333333333334,1414,128,8
2019-11-01,November 2019,2019,11,151,14,10.785714285714286,1565,142,11
2019-12-01,December 2019,2019,12,278,22,12.636363636363637,1843,164,13
2020-01-01,January 2020,2020,1,94,7,13.428571428571429,94,7,13
2020-02-01,February 2020,2020,2,183,13,14.076923076923077,277,20,14
2020-03-01,March 2020,2020,3,188,12,15.666666666666666,465,32,16
2020-04-01,April 2020,2020,4,558,41,13.609756097560975,1023,73,14
2020-05-01,May 2020,2020,5,743,53,14.018867924528301,1766,126,14
2020-06-01,June 2020,2020,6,727,55,13.218181818181819,2493,181,13
2020-07-01,July 2020,2020,7,1111,99,11.222222222222221,3604,280,11
2020-08-01,August 2020,2020,8,1470,116,12.672413793103448,5074,396,13
2020-09-01,September 2020,2020,9,1946,147,13.238095238095237,7020,543,13
2020-10-01,October 2020,2020,10,472,34,13.882352941176471,7492,577,14
2020-11-01,November 2020,2020,11,761,48,15.854166666666666,8253,625,16
2020-12-01,December 2020,2020,12,209,16,13.0625,8462,641,13
2021-01-01,January 2021,2021,1,224,15,14.933333333333334,224,15,15
2021-02-01,February 2021,2021,2,308,18,17.11111111111111,532,33,17
2021-03-01,March 2021,2021,3,831,41,20.26829268292683,1363,74,20
2021-04-01,April 2021,2021,4,750,38,19.736842105263158,2113,112,20
2021-05-01,May 2021,2021,5,1627,81,20.08641975308642,3740,193,20
2021-06-01,June 2021,2021,6,2177,92,23.66304347826087,5917,285,24
2021-07-01,July 2021,2021,7,3512,130,27.015384615384615,9429,415,27
2021-08-01,August 2021,2021,8,3053,99,30.838383838383837,12482,514,31
2021-09-01,September 2021,2021,9,4602,160,28.7625,17084,674,29
2021-10-01,October 2021,2021,10,2701,93,29.043010752688172,19785,767,29
2021-11-01,November 2021,2021,11,6971,209,33.354066985645936,26756,976,33
2021-12-01,December 2021,2021,12,1770,58,30.517241379310345,28526,1034,31
2022-01-01,January 2022,2022,1,1339,47,28.48936170212766,1339,47,28
2022-02-01,February 2022,2022,2,143,5,28.6,1482,52,29
2022-03-01,March 2022,2022,3,3066,95,32.27368421052632,4548,147,32
2022-04-01,April 2022,2022,4,2143,59,36.32203389830509,6691,206,36
2022-05-01,May 2022,2022,5,2916,82,35.5609756097561,9607,288,36
2022-06-01,June 2022,2022,6,3140,78,40.256410256410255,12747,366,40
