n_year,n_week,migrants_arrived,boats_arrived,cumulative_migrants_arrived,cumulative_boats_arrived,migrants_per_boat
2018,1,,,0,0,
2018,2,,,0,0,
2018,3,,,0,0,
2018,4,,,0,0,
2018,5,7,1,7,1,7
2018,6,,,7,1,
2018,7,,,7,1,
2018,8,,,7,1,
2018,9,,,7,1,
2018,10,,,7,1,
2018,11,,,7,1,
2018,12,,,7,1,
2018,13,,,7,1,
2018,14,,,7,1,
2018,15,,,7,1,
2018,16,,,7,1,
2018,17,,,7,1,
2018,18,,,7,1,
2018,19,,,7,1,
2018,20,,,7,1,
2018,21,,,7,1,
2018,22,,,7,1,
2018,23,,,7,1,
2018,24,4,1,11,2,4
2018,25,,,11,2,
2018,26,,,11,2,
2018,27,,,11,2,
2018,28,,,11,2,
2018,29,,,11,2,
2018,30,,,11,2,
2018,31,4,1,15,3,4
2018,32,4,1,19,4,4
2018,33,,,19,4,
2018,34,2,1,21,5,2
2018,35,7,2,28,7,3.5
2018,36,,,28,7,
2018,37,,,28,7,
2018,38,,,28,7,
2018,39,,,28,7,
2018,40,,,28,7,
2018,41,,,28,7,
2018,42,17,3,45,10,5.666666666666667
2018,43,6,1,51,11,6
2018,44,15,2,66,13,7.5
2018,45,7,1,73,14,7
2018,46,57,6,130,20,9.5
2018,47,22,3,152,23,7.333333333333333
2018,48,9,1,161,24,9
2018,49,6,2,167,26,3
2018,50,31,4,198,30,7.75
2018,51,,,198,30,
2018,52,101,13,299,43,7.769230769230769
2019,1,8,1,8,1,8
2019,2,,,8,1,
2019,3,37,4,45,5,9.25
2019,4,,,45,5,
2019,5,,,45,5,
2019,6,,,45,5,
2019,7,44,3,89,8,14.666666666666666
2019,8,22,3,111,11,7.333333333333333
2019,9,22,2,133,13,11
2019,10,,,133,13,
2019,11,,,133,13,
2019,12,24,3,157,16,8
2019,13,42,4,199,20,10.5
2019,14,8,1,207,21,8
2019,15,,,207,21,
2019,16,44,4,251,25,11
2019,17,19,2,270,27,9.5
2019,18,29,4,299,31,7.25
2019,19,49,4,348,35,12.25
2019,20,52,4,400,39,13
2019,21,29,3,429,42,9.666666666666666
2019,22,74,1,503,43,74
2019,23,,,503,43,
2019,24,78,4,581,47,19.5
2019,25,11,1,592,48,11
2019,26,,,592,48,
2019,27,46,4,638,52,11.5
2019,28,18,3,656,55,6
2019,29,74,6,730,61,12.333333333333334
2019,30,57,4,787,65,14.25
2019,31,55,7,842,72,7.857142857142857
2019,32,48,5,890,77,9.6
2019,33,,,890,77,
2019,34,123,13,1013,90,9.461538461538462
2019,35,116,9,1129,99,12.88888888888889
2019,36,9,1,1138,100,9
2019,37,179,16,1317,116,11.1875
2019,38,22,3,1339,119,7.333333333333333
2019,39,,,1339,119,
2019,40,27,4,1366,123,6.75
2019,41,10,1,1376,124,10
2019,42,13,1,1389,125,13
2019,43,25,3,1414,128,8.333333333333334
2019,44,,,1414,128,
2019,45,82,7,1496,135,11.714285714285714
2019,46,56,6,1552,141,9.333333333333334
2019,47,13,1,1565,142,13
2019,48,,,1565,142,
2019,49,106,9,1671,151,11.777777777777779
2019,50,,,1671,151,
2019,51,69,5,1740,156,13.8
2019,52,103,8,1843,164,12.875
2020,1,,,0,0,
2020,2,,,0,0,
2020,3,21,2,21,2,10.5
2020,4,73,5,94,7,14.6
2020,5,,,94,7,
2020,6,183,13,277,20,14.076923076923077
2020,7,,,277,20,
2020,8,,,277,20,
2020,9,,,277,20,
2020,10,28,2,305,22,14
2020,11,25,2,330,24,12.5
2020,12,39,2,369,26,19.5
2020,13,96,6,465,32,16
2020,14,193,14,658,46,13.785714285714286
2020,15,163,11,821,57,14.818181818181818
2020,16,44,4,865,61,11
2020,17,158,12,1023,73,13.166666666666666
