month_short,month_long,2018,2019,2020,2021,2022,2023,2024,2025,2026
Jan,January,7,45,94,224,1339,1180,1335,1098,203
Feb,February,7,133,277,532,1482,2953,2255,2056,
Mar,March,7,199,465,1363,4548,3793,5435,6642,
Apr,April,7,279,1023,2113,6691,5946,7567,11074,
May,May,7,429,1766,3740,9607,7610,10448,14812,
Jun,June,11,592,2493,5917,12747,11433,13489,19982,
Jul,July,11,787,3604,9429,16434,14732,16903,25436,
Aug,August,21,1129,5074,12482,25065,20101,21052,29003,
Sep,September,28,1339,7020,17084,33029,24830,25244,34087,
Oct,October,51,1414,7492,19785,39929,26699,30661,36954,
Nov,November,161,1565,8253,26756,44011,28360,33562,39292,
Dec,December,299,1843,8462,28526,45755,29437,36816,41472,
