n_week,2018,2019,2020,2021,2022,2023,2024,2025,2026
1,0,8,0,10,66,44,0,61,32
2,0,8,0,171,574,44,263,388,32
3,0,45,21,207,963,280,621,1019,
4,0,45,94,224,1339,991,1057,1098,
5,7,45,94,224,1339,1398,1335,1344,
6,7,45,277,286,1339,2124,1553,1554,
7,7,89,277,286,1350,2589,1716,1893,
8,7,111,277,419,1350,2953,2006,2056,
9,7,133,277,632,2212,2953,2582,3224,
10,7,133,305,797,2212,3201,3406,4395,
11,7,133,330,797,3229,3565,3468,4395,
12,7,157,369,1134,4162,3683,4306,6049,
13,7,199,465,1393,4548,3793,5435,6642,
14,7,207,658,1393,4548,4670,5435,7228,
15,7,207,821,1524,6009,4899,6265,8888,
16,7,251,865,1796,6691,5546,6265,9623,
17,7,270,1023,2004,6691,5799,7167,10780,
18,7,299,1088,2390,7581,6415,8576,11516,
19,7,348,1348,2948,7801,6844,9455,12699,
20,7,400,1492,3141,8840,7297,9874,12748,
21,7,429,1706,3172,9326,7558,10448,13617,
22,7,503,1766,4229,9984,7610,10448,14812,
23,7,503,1932,4747,10063,7764,11247,14812,
24,11,581,2144,5247,11369,10139,11431,17034,
25,11,592,2284,5346,12206,11115,12901,18400,
26,11,592,2493,5989,12747,11433,13489,20422,
27,11,638,2503,6665,13172,12503,13574,21117,
28,11,656,2712,7499,14554,13200,14332,22504,
29,11,730,3176,8851,15314,14534,15832,23534,
30,11,787,3304,9429,16013,14732,16457,24538,
31,15,842,3727,10711,17785,15071,17170,25436,
32,19,890,4445,11303,19341,16679,18342,27474,
33,19,890,4864,11613,21344,17620,19088,27997,
34,21,1013,5049,12482,24153,19741,19294,29003,
35,28,1129,5224,12489,25387,20973,21052,29003,
36,28,1138,5870,14367,27732,22714,22440,30843,
37,28,1317,6523,14990,29783,23940,23533,31031,
38,28,1339,6950,16298,32336,23996,25052,32188,
39,28,1339,6998,17084,33029,24830,25244,34087,
40,28,1366,7020,17173,33611,25330,26612,34401,
41,28,1376,7076,18768,37027,25931,27225,36365,
42,45,1389,7459,19574,37603,26116,28204,36734,
43,51,1414,7492,19785,38435,26605,29867,36954,
44,66,1414,7492,21094,39929,26699,31094,36954,
45,73,1496,7982,23622,39929,26699,32900,39075,
46,130,1552,8059,25037,42234,27670,33562,39292,
47,152,1565,8113,26756,42234,27708,33562,39292,
48,161,1565,8253,26756,44174,28972,33684,39292,
49,167,1671,8363,26856,44264,29090,33973,39292,
50,198,1671,8407,27451,45296,29437,35040,40155,
51,198,1740,8407,28423,45665,29437,35040,41472,
52,299,1843,8462,28526,45755,29437,36816,41472,
